id,title,sweetness,saltiness,sourness,bitterness,savoriness,fattiness,spiciness
652134,Mixed Paella,47.21,30.53,100.0,59.36,28.69,35.11,5950.0
640314,Crab Ravioli With Scallops and Gremolata,30.75,100.0,65.93,40.15,53.43,87.94,7450.0
656049,"Pierogies with Caramelized Onion, Cabbage, and Potato",17.85,100.0,14.2,16.72,27.69,67.87,900000.0
649225,Lamb Moussaka,49.32,100.0,31.23,32.54,52.26,73.87,0.0
649354,Layered Greek Salad,29.25,9.39,100.0,18.95,14.59,39.73,0.0
658632,Roasted Pumpkin and Barley Risotto,100.0,7.42,0.0,0.0,0.0,94.48,16500.0
638236,Chicken Pasta Primavera - Flower Patch Farmgirl Style,37.23,100.0,40.85,27.38,76.8,77.93,35750.0
649395,Lean Shepherd's Pie,31.24,100.0,13.05,15.85,34.63,63.57,0.0
1095993,Slow Cooker Shanghai-Style Beef Borscht,41.17,100.0,37.09,26.04,43.88,59.65,0.0
634891,Best Chicken Parmesan,26.07,100.0,16.49,16.06,65.12,66.12,0.0
660843,Spanakopita (Greek Spinach Pie),54.09,55.64,18.67,11.62,38.26,100.0,0.0
640869,Crock Pot Shredded French Dip,17.96,100.0,28.14,16.88,59.23,49.5,0.0
656544,Polenta gnocchi with savoy cabbage and cheese,17.64,100.0,37.51,40.93,56.44,47.08,0.0
1095810,Buffalo Mozzarella & Pepperoni Pizza with a Cauliflower Crust,86.02,84.06,66.11,100.0,45.39,80.27,0.0
648718,Kale Colcannon,19.83,100.0,9.91,10.76,23.69,76.86,0.0
648048,Italian Beef Braciole,46.17,100.0,42.39,24.25,58.35,90.03,0.0
647645,Hungarian Beef Goulash,24.8,100.0,23.93,18.61,50.13,72.16,0.0
1095841,Spanish Gazpacho Soup,71.98,39.19,100.0,35.13,23.85,30.48,5950.0
636610,"Butternut, Chicken and Feta Risotto",20.07,100.0,14.24,15.32,52.94,68.41,29800.0
644830,Gluten free focaccia,60.9,60.46,53.67,61.08,19.96,100.0,0.0
634660,Beef Pot Pies with Irish Cheddar Crust,35.71,100.0,29.89,28.15,55.88,72.42,454000.0
656817,Pork Schnitzel And Apple Salad,48.05,100.0,45.05,21.7,60.53,70.8,1200000.0
649850,Lemon-Pepper Fettucine Alfredo,14.28,6.66,5.09,3.4,5.05,100.0,0.0
649292,Lasagne Roll Ups,61.9,82.7,100.0,64.09,48.92,83.95,52150.0
637811,Chestnut Risotto,43.91,63.08,17.31,20.59,48.89,100.0,0.0
657249,Pumpkin Banana Protein Oat Bars,100.0,1.38,14.67,13.04,6.21,95.28,0.0
656820,Pork Shoulder Tacos with Chipotle Greek Yogurt and Coleslaw,16.87,100.0,26.47,27.6,65.21,62.26,7425000.0
1096161,Greek Chicken Sheet Pan Dinner with Green Beans and Feta,25.39,100.0,54.6,40.78,57.33,57.89,0.0
645384,Greek Yogurt Chicken Salad,26.87,100.0,15.09,17.26,70.28,68.29,600000.0
657939,Ratatouille With Brie,30.06,100.0,24.09,41.51,39.8,90.62,0.0
639599,Classic French Mussels,22.69,36.97,100.0,39.45,35.97,28.66,0.0
643175,"Focaccia with Tomato, Green Onion and Garlic",42.71,70.75,39.39,43.59,12.55,100.0,0.0
650119,Linguine Alla Carbonara,40.71,100.0,27.3,29.31,80.91,82.16,14900.0
635686,Borscht Soup,96.28,68.71,65.53,100.0,22.48,31.99,5950.0
75081,Beef Wellington,16.71,100.0,27.03,18.31,61.33,62.34,0.0
651646,Mexican Lasagna with Chicken & Black Bean,82.17,100.0,20.89,18.9,66.25,90.35,91375.0
645354,Greek Shrimp Orzo,47.46,28.48,98.11,75.33,58.71,100.0,0.0
641911,"Easy Chicken, Kielbasa and Shrimp Paella",26.12,100.0,10.82,14.26,57.11,60.13,0.0
1098350,Light Greek Lemon Chicken Orzo Soup,37.45,100.0,50.11,53.26,76.63,55.14,0.0
640064,Coriander Ravioli With Pumpkin & Cottage Cheese Filling,100.0,93.89,32.34,19.71,60.27,80.46,7450.0
715569,Strawberry Cheesecake Chocolate Crepes,92.66,91.28,68.72,32.13,40.89,100.0,0.0
648097,Italian Chicken With Pepper,14.39,100.0,13.42,16.51,69.82,59.12,20850.0
650651,Make It Quick Italian Shrimp Rolls,46.4,100.0,4.68,2.19,12.76,87.48,0.0
636360,Brussels Sprout Carbonara with Fettuccini,30.42,100.0,33.17,46.41,60.98,63.79,0.0
638002,Chicken Cacciatore,27.89,100.0,38.47,24.48,69.4,59.28,8200.0
656329,Pizza bites with pumpkin,79.91,76.37,23.33,14.34,52.32,100.0,0.0
650045,Lightened Ricotta Stuffed Shells With Italian Sausage Ragu,32.62,100.0,49.71,32.43,47.11,63.79,0.0
649340,Layered Baked Eggplant Parmesan,39.71,100.0,16.54,30.11,37.02,65.3,0.0
642287,Eggplant Fries with Tzatziki Sauce,45.33,100.0,39.54,36.76,43.15,73.49,0.0
652651,Mushroom Crepes with Vegetarian Sauce,30.52,88.93,33.67,40.69,63.78,100.0,0.0
642638,Fava Crostini,8.47,59.0,30.94,46.35,10.24,100.0,0.0
644205,Garden Vegetable Ravioli With Tomato Brodo,100.0,71.48,92.29,38.81,40.91,89.26,0.0
716414,"Red, White & Blue Crepes: Happy July 4th! @driscollsberry",100.0,11.13,66.33,32.37,8.91,14.31,0.0
664689,Vegetarian Ratatouille,45.87,100.0,33.98,37.65,41.26,59.49,5950.0
1095746,Lemon and Edamame Risotto with Pecans,33.16,87.02,61.45,51.77,51.51,100.0,0.0
643450,Fresh Cherry Scones,100.0,4.73,42.03,26.42,11.79,47.73,0.0
1096208,Spinach Goats Cheese Roulade Main Dish,24.66,97.06,25.68,18.55,40.39,100.0,0.0
654939,Pasta With Roasted Vegetables & Greek Olives,55.14,100.0,44.15,28.01,49.02,62.16,0.0
659037,Salmon and Broccoli Crepes,49.04,100.0,53.13,45.4,69.16,65.44,600000.0
649183,Lamb and Fresh Goat Cheese Roulade,10.94,98.7,25.94,25.28,56.0,100.0,0.0
1182871,Shrimp Scampi Zoodles,28.01,100.0,22.59,32.17,45.0,50.58,0.0
657159,Prosciutto and Mushroom Ravioli With Basil Browned Butter Sauce,22.46,71.15,12.94,15.77,50.0,100.0,0.0
642371,"Elk Italian Sausage Pizza With Ricotta Cheese, Sautéd Mushrooms and Onion",17.03,100.0,29.14,16.49,46.32,63.9,0.0
648638,Julia Child's Coq au Vin,21.69,100.0,32.31,29.77,74.17,66.85,0.0
648118,Sauteed Italian Eggplant Side Dish,34.73,100.0,16.83,37.58,37.7,75.07,0.0
649718,Lemon Pasta Alfredo (Vegan),31.72,65.2,45.59,100.0,29.0,49.27,0.0
660366,Smoked Salmon and Mascarpone Calzone,33.08,71.67,21.76,8.99,36.41,100.0,7450.0
653368,Nutmeg and Rosemary Butternut Squash Risotto,43.35,100.0,31.04,26.98,51.73,94.48,0.0
656548,Polenta Pie With Italian Toppings,35.19,100.0,40.08,58.54,48.16,97.54,5950.0
640696,Creamy Risotto With Smoked Turkey Sausage,28.45,100.0,22.33,17.52,51.51,70.31,0.0
650654,Make Olive Garden’s Delicious Pasta Fagioli At Home,70.03,100.0,51.26,32.63,62.91,52.18,0.0
645315,Greek Inspired Spring Omelet,70.15,100.0,48.76,16.07,60.44,74.1,0.0
646071,Gyros,31.24,100.0,91.16,37.63,66.58,97.26,150000.0
663771,Traditional Panzanella,79.81,33.26,100.0,25.42,23.32,56.54,0.0
1095731,Peach and Pistachio Greek Yogurt Bowl,100.0,51.18,47.5,32.52,36.03,45.13,0.0
644482,German Meatloaf Falscher Hase,32.28,100.0,13.92,20.16,59.42,55.99,300000.0
636593,Butternut Squash Pizza,82.56,91.64,27.54,24.3,70.01,100.0,0.0
644917,Gnocchi and Wilted Spinach Salad,42.53,100.0,20.36,24.4,47.38,72.47,0.0
664396,Vegan Beet Borscht,100.0,22.21,6.22,34.28,0.0,40.42,0.0
636355,BRUSCHETTA STUFFED PORTOBELLOS,16.73,100.0,21.41,21.17,68.21,61.79,0.0
633830,Baked Swedish Pancake,100.0,28.2,41.59,15.4,20.14,27.11,0.0
649768,Lemon Rosemary Risotto,32.88,86.66,100.0,73.81,47.86,79.66,0.0
